Player,Years,Term,Position,Status,Age,2026-27,2027-28,2028-29,2029-30,2030-31,2031-32
Noah Dobson D,7 UFA,"M-NTC","RD",NHL,26,8.075,8.075,8.075,8.075,8.075,8.075,,,,False
Lucas Raymond RW,6 UFA,"","RW, LW",NHL,24,8.075,8.075,8.075,8.075,8.075,8.075,0,400,400,False
Charlie McAvoy D,4 UFA,"NMC","RD",NHL,28,8.075,8.075,8.075,8.075,UFA,,,,,False
Seth Jones D,4 UFA,"NMC","RD",NHL,31,8.075,8.075,8.075,8.075,UFA,,,,,False
Adam Fox D,3 UFA,"NMC","RD",NHL,28,8.075,8.075,8.075,UFA,,,,,,False
Nick Schmaltz C,8 UFA,"NMC","C, RW",NHL,30,8.0,8.0,8.0,8.0,8.0,8.0,,,,False
Sam Bennett C,7 UFA,"NMC","C",NHL,30,8.0,8.0,8.0,8.0,8.0,8.0,,,,False
Pavel Buchnevich LW,5 UFA,"NTC","LW, RW, C",NHL,31,8.0,8.0,8.0,8.0,8.0,UFA,,,,False
Jack Hughes C,4 UFA,"M-NTC","C, LW",NHL,25,8.0,8.0,8.0,8.0,UFA,,,,,False
J.T. Miller C,4 UFA,"NMC","C, RW, LW",NHL,33,8.0,8.0,8.0,8.0,UFA,,,,,False
Steven Stamkos LW,2 UFA,"NMC","LW, RW",NHL,36,8.0,8.0,UFA,,,,,,,False
Patrick Kane RW,2 UFA,"NMC","RW",NHL,37,8.0,8.0,UFA,,,,,,,False
Logan Couture C,1 UFA,"M-NTC","C",NHL,37,8.0,UFA,,,,,,,,False
Josh Norris C,4 UFA,"M-NTC","C",NHL,27,7.95,7.95,7.95,7.95,UFA,,,,,False
Seth Jarvis RW,6 UFA,"","RW",NHL,24,7.9,7.9,7.9,7.9,7.9,7.9,0,375,375,False
Jesper Bratt RW,5 UFA,"NMC","RW, LW",NHL,28,7.875,7.875,7.875,7.875,7.875,UFA,,,,False
Nick Suzuki C,4 UFA,"M-NTC","C",NHL,27,7.875,7.875,7.875,7.875,UFA,,,,,False
Kevin Fiala LW,3 UFA,"M-NTC","LW",NHL,30,7.875,7.875,7.875,UFA,,,,,,False
Alex DeBrincat LW,1 UFA,"M-NTC","LW",NHL,28,7.875,UFA,,,,,,,,False
Darnell Nurse D,4 UFA,"NMC","LD",NHL,31,7.8625,7.8625,7.8625,7.8625,UFA,,,,,False
Cole Caufield LW,5 UFA,"","LW",NHL,25,7.85,7.85,7.85,7.85,7.85,UFA,0,368,368,False
Dylan Holloway LW,5 UFA,"","LW",NHL,24,7.75,7.75,7.75,7.75,7.75,UFA,0,225,225,False
Elias Lindholm C,5 UFA,"NMC","C",NHL,31,7.75,7.75,7.75,7.75,7.75,UFA,,,,False
Matthew Knies LW,5 UFA,"","LW, RW",NHL,23,7.75,7.75,7.75,7.75,7.75,UFA,0,240,240,False
Sean Couturier C,4 UFA,"NMC","C",NHL,33,7.75,7.75,7.75,7.75,UFA,,,,,False
Andrei Svechnikov LW,3 UFA,"M-NTC","LW",NHL,26,7.75,7.75,7.75,UFA,,,,,,False
Juuse Saros G,7 UFA,"NMC","G",NHL,31,7.74,7.74,7.74,7.74,7.74,7.74,0,467,467,False
Roman Josi D,2 UFA,"NMC","RD, LD",NHL,36,7.70015,7.70015,UFA,,,,,,,False
JJ Peterka LW,4 UFA,"","LW, RW",NHL,24,7.7,7.7,7.7,7.7,UFA,,0,320,320,False
